name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR001","2103","(1.0*(100*A+830))/1186"," 0"," 0","V","74B"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR002","2104","(1.0*((A*256+B)))/100"," 0"," 0","км/час","74B"
"PR_ПРОДОЛЖИТЕЛЬНОСТЬ ЗАКРЫТИЯ ЛЮКА КРЫШИ","PR004","210C","(1.0*(O*256+P))/1000"," 0"," 0","s","74B"
"PR_ПРОДОЛЖИТЕЛЬНОСТЬ ОТКРЫВАНИЯ ЛЮКА КРЫШИ","PR003","210B","(1.0*(O*256+P))/1000"," 0"," 0","s","74B"
"ST_+ ПОСЛЕ ВКЛЮЧЕНИЯ ЗАЖИГАНИЯ","ET020","2101","{B:2}","0","0","","74B"
"ST_ЛЕВАЯ ПЕРЕДНЯЯ ДВЕРЬ","ET006","2104","{D:0}","0","0","","74B"
"ST_ПРАВАЯ ПЕРЕДНЯЯ ДВЕРЬ","ET005","2104","{D:1}","0","0","","74B"
"ST_ЭЛЕКТРОМАГНИТНЫЙ КЛАПАН 1","ET018","2102","{B:1}","0","0","","74B"
"ST_ЭЛЕКТРОМАГНИТНЫЙ КЛАПАН 2","ET019","2102","{B:2}","0","0","","74B"
"ST_РЕЛЕ ГИДРАВЛИЧЕСКОГО НАСОСА","ET013","2102","{B:4}","0","0","","74B"
"ST_КОМАНДА РЕЛЕ ЛЕВОГО ЗАМКА","ET022","2102","{A:5}","0","0","","74B"
"ST_КОМАНДА РЕЛЕ ПРАВОГО ЗАМКА","ET021","2102","{A:4}","0","0","","74B"
"ST_РАЗДЕЛИТ ПЕРЕГОРОДКА БАГАЖНОГО ОТДЕЛЕНИЯ","ET017","2101","{A:6}","0","0","","74B"
"ST_СОСТОЯНИЕ БАГАЖНОГО ОТДЕЛЕНИЯ","ET014","2104","{D:4}","0","0","","74B"
"ST_ЛЮК КРЫШИ ЗАПЕРТ","ET008","2101","{A:1}","0","0","","74B"
"ST_КРЫША ГОТОВА К ЗАПИРАНИЮ","ET025","2101","{A:0}","0","0","","74B"
"ST_ЛЕВЫЙ ЗАМОК БАГАЖНОГО ОТДЕЛЕНИЯ","ET016","2101","{A:3}","0","0","","74B"
"ST_ПРАВЫЙ ЗАМОК БАГАЖНОГО ОТДЕЛЕНИЯ","ET015","2101","{A:4}","0","0","","74B"
"ST_ДАТЧИК ПОЛОЖЕНИЯ КРЫШИ","ET028","2101","{F:3}","0","0","","74B"
"ST_ДАТЧИК ПОЛОЖЕНИЯ КРЫШКИ БАГАЖН ОТДЕЛЕН","ET029","2101","{F:4}","0","0","","74B"
"ST_РАБОТА СИСТЕМЫ","ET030","2104","N","0","0","","74B"
"ST_ГАБАРИТНЫЙ","ET033","2104","F","0","0","","74B"
"ST_ДУГИ БЕЗОПАСНОСТИ","ET036","210D","A","0","0","","74B"
"ST_КОНФИГУРАЦИЯ КОМПЬЮТЕРА","ET035","210D","B","0","0","","74B"
"ST_ДУГИ БЕЗОПАСНОСТИ","LC001","210D","A","0","0","","74B"
